snapshot_date,symbol,idx_code,issuer_name,board,sector
2025-09-20,BOGA.JK,BOGA,PT Bintang Oto Global Tbk,,Retail trade
2025-09-20,BOLA.JK,BOLA,PT Bali Bintang Sejahtera Tbk,,Consumer services
2025-09-20,BOLT.JK,BOLT,PT Garuda Metalindo Tbk,,Producer manufacturing
2025-09-20,BPFI.JK,BPFI,PT Woori Finance Indonesia Tbk,,Finance
2025-09-20,BPII.JK,BPII,PT Batavia Prosperindo Internasional Tbk,,Commercial services
2025-09-20,BPTR.JK,BPTR,PT Batavia Prosperindo Trans Tbk,,Finance
2025-09-20,BRAM.JK,BRAM,PT Indo Kordsa Tbk,,Process industries
2025-09-20,BREN.JK,BREN,PT Barito Renewables Energy Tbk,,Utilities
2025-09-20,BRIS.JK,BRIS,PT Bank Syariah Indonesia Tbk,,Finance
2025-09-20,BRMS.JK,BRMS,PT Bumi Resources Minerals Tbk Class A,,Non-energy minerals
2025-09-20,BRNA.JK,BRNA,PT Berlina Tbk,,Process industries
2025-09-20,BRPT.JK,BRPT,PT Barito Pacific Tbk,,Non-energy minerals
2025-09-20,BRRC.JK,BRRC,PT Raja Roti Cemerlang Tbk,,Consumer non-durables
2025-09-20,BSBK.JK,BSBK,PT Wulandari Bangun Laksana Tbk,,Finance
2025-09-20,BSDE.JK,BSDE,PT Bumi Serpong Damai Tbk,,Finance
2025-09-20,BSIM.JK,BSIM,PT Bank Sinarmas Tbk,,Finance
2025-09-20,BSML.JK,BSML,PT Bintang Samudera Mandiri Lines Tbk,,Transportation
2025-09-20,BSSR.JK,BSSR,PT Baramulti Suksessarana Tbk,,Energy minerals
2025-09-20,BSWD.JK,BSWD,PT Bank of India Indonesia Tbk,,Finance
2025-09-20,BTEK.JK,BTEK,PT Bumi Teknokultura Unggul Tbk,,Process industries
2025-09-20,BTON.JK,BTON,PT Betonjaya Manunggal Tbk,,Non-energy minerals
2025-09-20,BTPN.JK,BTPN,PT Bank SMBC Indonesia Tbk,,Finance
